OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2010-010A","ECHOSTAR 14","36499","US","1436.10","0.02","35800","35774","LARGE","0","2010-03-20",""
"1997-051WP","IRIDIUM 33 DEB","36497","US","100.28","86.16","825","718","SMALL","0","1997-09-14",""
"1997-051WM","IRIDIUM 33 DEB","36495","US","96.75","86.40","608","598","SMALL","0","1997-09-14",""
"1997-051WK","IRIDIUM 33 DEB","36493","US","99.77","86.37","760","735","SMALL","0","1997-09-14",""
"1997-051WJ","IRIDIUM 33 DEB","36492","US","98.94","86.43","717","699","SMALL","0","1997-09-14",""
"1997-051WG","IRIDIUM 33 DEB","36490","US","99.62","86.38","742","739","SMALL","0","1997-09-14",""
"1997-051WF","IRIDIUM 33 DEB","36489","US","97.23","86.42","635","617","SMALL","0","1997-09-14",""
"1997-051WE","IRIDIUM 33 DEB","36488","US","95.49","86.43","551","534","SMALL","0","1997-09-14",""
"1997-051WD","IRIDIUM 33 DEB","36487","US","102.12","86.37","987","731","SMALL","0","1997-09-14",""
"1997-051WC","IRIDIUM 33 DEB","36486","US","98.56","86.36","700","679","SMALL","0","1997-09-14",""
"1997-051WB","IRIDIUM 33 DEB","36485","US","100.93","86.44","900","705","SMALL","0","1997-09-14",""
"1997-051VZ","IRIDIUM 33 DEB","36483","US","100.23","86.39","778","761","SMALL","0","1997-09-14",""
"1997-051VY","IRIDIUM 33 DEB","36482","US","99.16","86.35","734","703","SMALL","0","1997-09-14",""
"1993-036BCE","COSMOS 2251 DEB","36479","CIS","95.87","74.03","596","526","SMALL","0","1993-06-16",""
"1993-036BCB","COSMOS 2251 DEB","36476","CIS","99.04","74.03","726","700","SMALL","0","1993-06-16",""
"1993-036BBW","COSMOS 2251 DEB","36471","CIS","93.02","73.88","446","399","SMALL","0","1993-06-16",""
"1993-036BBV","COSMOS 2251 DEB","36470","CIS","99.44","73.87","780","684","SMALL","0","1993-06-16",""
"1993-036BBS","COSMOS 2251 DEB","36467","CIS","101.11","73.87","905","717","SMALL","0","1993-06-16",""
"1993-036BBN","COSMOS 2251 DEB","36463","CIS","99.56","74.05","751","724","SMALL","0","1993-06-16",""
"1993-036BBM","COSMOS 2251 DEB","36462","CIS","92.65","73.80","415","393","SMALL","0","1993-06-16",""
"1993-036BBL","COSMOS 2251 DEB","36461","CIS","94.60","73.94","535","463","SMALL","0","1993-06-16",""
"1993-036BBJ","COSMOS 2251 DEB","36459","CIS","102.14","74.02","961","759","SMALL","0","1993-06-16",""
"1993-036BBG","COSMOS 2251 DEB","36457","CIS","99.40","74.05","763","697","SMALL","0","1993-06-16",""
"1993-036BBF","COSMOS 2251 DEB","36456","CIS","100.74","74.03","839","748","SMALL","0","1993-06-16",""
"1993-036BBD","COSMOS 2251 DEB","36454","CIS","97.68","74.01","660","636","SMALL","0","1993-06-16",""
"1993-036BBC","COSMOS 2251 DEB","36453","CIS","100.16","73.93","827","705","SMALL","0","1993-06-16",""
"1993-036BBA","COSMOS 2251 DEB","36451","CIS","102.26","73.94","1019","712","SMALL","0","1993-06-16",""
"1993-036BAZ","COSMOS 2251 DEB","36450","CIS","100.08","74.04","786","739","SMALL","0","1993-06-16",""
"1993-036BAX","COSMOS 2251 DEB","36448","CIS","100.00","74.09","798","719","SMALL","0","1993-06-16",""
"1993-036BAW","COSMOS 2251 DEB","36447","CIS","96.19","73.93","634","518","SMALL","0","1993-06-16",""
"1993-036BAR","COSMOS 2251 DEB","36442","CIS","99.72","73.99","772","717","SMALL","0","1993-06-16",""
"1993-036BAQ","COSMOS 2251 DEB","36441","CIS","97.23","73.84","745","507","SMALL","0","1993-06-16",""
"1993-036BAN","COSMOS 2251 DEB","36439","CIS","107.35","73.97","1442","766","SMALL","0","1993-06-16",""
"1993-036BAL","COSMOS 2251 DEB","36437","CIS","99.67","73.95","764","722","SMALL","0","1993-06-16",""
"1993-036BAJ","COSMOS 2251 DEB","36435","CIS","100.39","73.83","841","713","SMALL","0","1993-06-16",""
"1993-036BAH","COSMOS 2251 DEB","36434","CIS","100.57","74.02","817","754","SMALL","0","1993-06-16",""
"1993-036BAF","COSMOS 2251 DEB","36432","CIS","95.48","73.71","572","512","SMALL","0","1993-06-16",""
"1993-036BAD","COSMOS 2251 DEB","36430","CIS","101.19","74.01","888","743","SMALL","0","1993-06-16",""
"1993-036AZX","COSMOS 2251 DEB","36424","CIS","100.94","74.18","884","723","SMALL","0","1993-06-16",""
"1993-036AZW","COSMOS 2251 DEB","36423","CIS","102.18","73.83","1081","643","SMALL","0","1993-06-16",""
"1993-036AZV","COSMOS 2251 DEB","36422","CIS","97.57","74.01","727","558","SMALL","0","1993-06-16",""
"1993-036AZT","COSMOS 2251 DEB","36420","CIS","100.37","74.04","789","762","SMALL","0","1993-06-16",""
"1993-036AZS","COSMOS 2251 DEB","36419","CIS","100.64","73.85","861","717","SMALL","0","1993-06-16",""
"2010-009F","CZ-4C DEB","36418","PRC","107.07","63.40","1284","898","LARGE","0","2010-03-05",""
"2010-009E","CZ-4C DEB","36417","PRC","107.06","63.40","1285","896","LARGE","0","2010-03-05",""
"2010-009D","CZ-4C R/B","36416","PRC","105.15","63.44","1299","704","LARGE","0","2010-03-05",""
"2010-009C","YAOGAN 9C","36415","PRC","107.05","63.40","1286","894","LARGE","0","2010-03-05",""
"2010-009B","YAOGAN 9B","36414","PRC","107.05","63.40","1285","895","LARGE","0","2010-03-05",""
"2010-009A","YAOGAN 9A","36413","PRC","107.05","63.40","1285","895","LARGE","0","2010-03-05",""
"2010-008B","DELTA 4 R/B","36412","US","746.51","13.06","35201","6562","LARGE","0","2010-03-04",""
"2010-008A","GOES 15","36411","US","1436.19","0.19","35807","35770","LARGE","0","2010-03-04",""
"2010-007H","SL-12 R/B(AUX MOTOR)","36407","CIS","340.09","65.17","18806","717","MEDIUM","0","2010-03-01",""
"2010-007G","SL-12 R/B(AUX MOTOR)","36406","CIS","340.73","65.02","18567","996","MEDIUM","0","2010-03-01",""
"2010-007D","SL-12 R/B(2)","36403","CIS","675.06","65.49","19159","19067","LARGE","0","2010-03-01",""
"2010-007C","COSMOS 2460 (GLONASS)","36402","CIS","675.73","65.48","19133","19127","LARGE","0","2010-03-01",""
"2010-007B","COSMOS 2461 (GLONASS)","36401","CIS","675.73","65.49","19147","19113","LARGE","0","2010-03-01",""
"2010-007A","COSMOS 2459 (GLONASS)","36400","CIS","675.73","65.50","19196","19064","LARGE","0","2010-03-01",""
"2010-006C","BREEZE-M DEB (TANK)","36399","CIS","636.26","45.86","35770","483","LARGE","0","2010-02-12",""
"2010-006B","BREEZE-M R/B","36398","CIS","1656.25","6.60","42192","37793","LARGE","0","2010-02-12",""
